Date,Amount,Description,Type,Detailed,Usage,Month
2/15,$318.83,"Toasted Oak Barrel Continuous Brewer Complete Package @ $318.83
Capacity: 10L (2.5 gal - 2 SCOBYs)
Cap Color: Camel
Spigot Type: Included 100% Wood Spigot
Engraving: No Thanks
Flavoring: Chamomile
Heater: $20 off Heat Strip",Start-up,Misc,Kombucha,2/1/2018
4/8,$34.54,6 fliptop bottles and filters,Start-up,Bottles,Kombucha,4/1/2018
4/15,$22.94,evaporated cane juice,Maintenance,Sugar,Kombucha,4/1/2018
2/26,$16.95,evaporated cane juice,Maintenance,Sugar,Kombucha,2/1/2018
4/2,$48.00,Gunpowder Green Tea and Assam Tea,Maintenance,Tea,Kombucha,4/1/2018
2/20,$16.96,"The Big Book of Kombucha: Brewing, Flavoring, and Enjoying the Health Benefits of Fermented Tea",Start-up,Book,Kombucha,2/1/2018
4/17,$31.27,Adventures in Home Brewing beer bottles,Start-up,Bottles,Kombucha,4/1/2018
5/16,$57.25,25lb evaporated cane juice from nuts.com,Maintenance,Sugar,Kombucha,5/1/2018
9/10,$57.25,25lb evaporated cane juice from nuts.com,Maintenance,Sugar,Kombucha,9/1/2018
11/26,$32.40,green tea and Ceylon Orange Pekoe from the tea spot,Maintenance,Tea,Kombucha,11/1/2018
12/1,$9.49,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,12/1/2018
1/1,$8.99,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,1/1/2019
2/1,$8.99,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,2/1/2019
10/1,$26.97,3x10lb evaporated cane juce from Costco (still had one from before but couldn't find it),Maintenance,Sugar,Kombucha,10/1/2019
12/1/2019,$5.31,Gunpowder Green Tea × 1,Maintenance,Tea,Kombucha,12/1/2019
12/1/2019,$28.00,"Assam Tea, Organic × 1",Maintenance,Tea,Kombucha,12/1/2019
12/1/2019,$22.89,"pH strips, barrel cap",Maintenance,Misc,Kombucha,12/1/2019
2/29,$8.33,gunpowder green x3mo subscription,Maintenance,Tea,Kombucha,2/1/2020
5/1,$8.99,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,5/1/2020
8/27,$17.98,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,8/1/2020
10/1,$26.97,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,10/1/2020
11/15,8.99,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,11/1/2020
12/15,8.99,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,12/1/2021
1/15,8.99,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,1/1/2021
2/15,44.88,2 SCOBYs,Maintenance,,Kombucha,2/1/2021
5/10/21,42.45,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,5/1/2021
7/15/21,$29.92,BlackStrap Molasses (4 big bottles),Maintenance,Sugar,Kombucha,7/1/2021
9/30/21,$17.98,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,9/1/2021
12/1/21,$8.99,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,12/1/2021
3/1/2022,9.39,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,3/1/2022
4/22/22,$65.00,Golden Barrel Organic Cane Sugar - 50 lb,Maintenance,Sugar,Kombucha,4/1/2022
6/1/2022,9.39,10lb evaporated cane juce from Costco,Maintenance,Sugar,Kombucha,6/1/2022
