Month,refill1,refill2,refill3,refill4,refill5,refill6,refill7,refill8,refill9,refill10,refill11
2/1/2018,1,1,1,0,0,0,0,0,0,0,0
3/1/2018,1,1,1,1,1,1,1,0,0,0,0
4/1/2018,1,1,1,1,17,21,25,29,0,0,0
5/1/2018,2,5,9,12,16,19,23,27,30,0,0
6/1/2018,2,6,9,13,15,0,0,0,0,0,0
7/1/2018,1,5,8,11,15,19,22,26,30,0,0
8/1/2018,1,4,8,11,14,16,19,25,29,0,0
9/1/2018,1,4,7,10,13,16,19,22,25,29,0
10/1/2018,3,6,8,11,12,20,24,28,0,0,0
11/1/2018,1,5,8,11,14,17,20,23,27,0,0
12/1/2018,1,4,7,11,14,17,20,23,27,0,0
1/1/2019,1,5,12,15,18,21,24,28,0,0,0
2/1/2019,2,5,8,11,14,17,20,23,26,0,0
3/1/2019,1,4,7,9,17,20,23,25,28,31,0
4/1/2019,3,6,10,14,17,20,23,27,30,0,0
5/1/2019,3,6,12,15,22,25,29,0,0,0,0
6/1/2019,3,8,18,24,27,30,0,0,0,0,0
7/1/2019,3,6,9,12,16,19,22,24,27,30,0
8/1/2019,11,14,17,20,23,26,29,0,0,0,0
9/1/2019,7,11,16,19,23,27,30,0,0,0,0
10/1/2019,4,7,11,16,20,28,0,0,0,0,0
11/1/2019,1,5,11,14,17,26,29,0,0,0,0
12/1/2019,3,6,9,12,20,23,26,30,0,0,0
1/1/2020,12,15,18,22,26,29,,,,,
2/1/2020,1,4,7,12,15,19,23,27,,,
3/1/2020,2,6,11,15,18,21,25,28,30,,
4/1/2020,3,6,10,14,18,21,24,28,,,
5/1/2020,1,9,12,20,22,25,31,,,,
6/1/2020,6,10,15,20,24,28,,,,,
7/1/2020,2,6,9,13,16,19,23,28,,,
8/1/2020,1,5,7,12,16,19,22,25,29,,
9/1/2020,1,4,7,10,14,16,22,26,29,,
10/1/2020,3,6,9,13,16,20,24,27,31,,
11/1/2020,4,7,11,14,17,21,25,29,,,
12/1/2020,3,7,10,13,16,21,,,,,
1/1/2021,1,4,7,10,13,16,20,24,27,31,
2/1/2021,2,8,14,26,,,,,,,
3/1/2021,1,5,9,13,17,21,25,28,31,,
4/1/2021,4,8,12,15,18,21,24,27,30,,
5/1/2021,5,9,11,15,19,22,26,30,,,
6/1/2021,3,18,21,25,27,29,,,,,
7/1/2021,3,8,10,13,17,20,23,26,30,,
8/1/2021,3,6,13,16,19,22,26,29,,,
9/1/2021,2,5,8,13,16,19,22,26,30,,
10/1/2021,3,6,10,12,15,18,21,24,27,31,
11/1/2021,3,7,11,18,21,24,27,30,,,
12/1/2021,2,6,10,14,17,19,22,27,,,
1/1/2022,15,17,20,22,24,27,31,,,,
2/1/2022,3,6,9,12,15,18,21,25,,,
3/1/2022,1,5,9,12,15,18,21,25,29,,
4/1/2022,2,6,10,13,18,22,26,29,,,
5/1/2022,2,5,8,11,14,17,21,24,27,30,
6/1/2022,2,5,8,11,14,17,21,24,27,30,
7/1/2022,2,5,8,11,14,17,21,,,,
8/1/2022,12,20,24,27,30,,,,,,
9/1/2022,2,5,9,12,16,19,22,25,28,,
10/1/2022,2,5,9,12,15,18,21,24,27,31,
